video_id,neg,neu,pos,total_tokens,chunk_count
rnNbo_TNpkc,0.17456001,0.82525367,-1.26194000,238,1
oWZhQ8_Hxac,-2.02739828,0.75769873,1.26724887,3403,7
fqRC0jrwP54,0.42452398,0.78593504,-1.43127733,635,2
u1Df8RG-r7U,-1.38647854,0.53252923,0.91409165,303,1
4PXuGcLCN2Y,-2.87948895,0.27072537,2.73994803,217,1
YZ41WZBNgfw,-0.51606635,0.95081312,-0.68981768,2660,6
o807rQzl28M,0.35984934,0.66318347,-1.28004699,972,2
6kFXbHe8VN0,-0.33758508,0.68113930,-0.58804316,1052,3
Pg0sNIAwe2o,-1.95427311,0.79866285,1.09536253,1188,3
PhVp_nBQS54,0.36983916,0.39329274,-0.99539194,1165,3
HsbV58WacEk,-0.70036289,0.96527981,-0.53425256,1069,3
k6zHgvQsvbI,-1.41740425,0.82043153,0.36886381,967,2
Peq4GKr3HEA,0.66512709,0.50614290,-1.42110821,2202,5
vZHE4jXvHpc,-0.05852316,0.69488272,-0.77638818,527,2
RDuC0ZDlSu4,-2.16248369,0.52890688,1.56503153,207,1
b4j2fUzZ-fs,-1.91679668,0.71011194,1.24655749,3356,7
o29ORNNuSmk,-0.56865519,0.19453909,0.15409316,161,1
VgnX7M17xOA,1.55432571,0.22700109,-2.08153705,597,2
iDqY3jgwcWE,-0.29028209,0.80910217,-0.71130649,1994,4
uMqHmdcNBRg,-1.65315805,0.74003541,0.76971730,1226,3
iswpmQ4ylyk,-2.60107970,0.59390056,2.05530214,177,1
6uSQibNG8gA,0.41747412,0.54651395,-1.15035355,763,2
_nWoQvL78b4,-0.07927872,0.32273316,-0.40263596,317,1
3bmlbqTnzSI,-0.17840933,0.73113464,-0.71035888,4011,8
1JXMX4YIV7c,-1.89513493,1.65069556,-0.25698799,40,1
l5QEj0ceEyw,-0.42657873,1.21893132,-1.05943704,132,1
V0PNLMKkxqM,-0.13045174,1.11729646,-1.22161448,65,1
FWBJuBY2aO8,0.25289760,0.63337603,-1.15276228,1102,3
jh5HY-oRydI,-0.63075531,0.58039841,-0.02539497,4037,8
wAeCT5_WmTM,0.97052497,0.47812760,-1.72155797,346,1
AR2YqqU8gs0,1.83804131,0.14312577,-2.39539218,257,1
RHzv5T-R6lM,1.86173332,0.21928790,-2.36720824,391,1
ygZTV8I9mdI,0.38206810,0.66456217,-1.30634236,361,1
9OVwaqayUQI,1.63816118,0.64946681,-2.71817756,63,1
z4cUi9CMWgQ,-2.00055790,0.24960198,2.03370237,302,1
f_-_voWkZes,-0.28356279,0.65967406,-0.62885419,1718,4
oap_g9sxepg,1.17155366,0.42941142,-1.93573261,814,2
D_8J6NzqZ8g,0.59896084,0.53277743,-1.43737410,1012,2
32Hh4SR_T-w,1.04266981,0.31996252,-1.61740553,544,2
45YZLOP_ITM,-0.65099251,0.65076048,-0.10996042,976,2
wvAD8KvXqSc,0.24602219,0.64769667,-1.16129515,1557,4
FvXxWjPfWKg,-0.63762039,0.90946180,-0.39341789,206,1
QNbRGsAtueU,-0.74679087,0.63976761,-0.02918618,1230,3
NbWobRHh4pI,-0.94796058,0.66867659,0.11924189,1258,3
Qv2QI-4eGhQ,-0.31411326,0.81614834,-0.62691605,459,1
YxFuqoo9HBA,0.94661825,0.16108828,-1.39226047,847,2
cDKw55VsiOY,0.09393981,0.58031018,-0.80532486,1425,3
yh1CmjscStc,0.61217715,0.50073429,-1.39375574,593,2
SjKGzSlHM4Q,0.09612341,0.68904535,-0.99603538,3502,7
pr2UtTGlPPE,1.96026456,0.49135053,-2.74492383,142,1
MOwbPHnbPBg,1.94492757,0.23770402,-2.45254731,174,1
9dGtLizEE0Q,0.47530597,0.47253367,-1.08549384,774,2
pJIv5x3lv74,-0.14409632,0.58652340,-0.61595368,2757,6
SGG-DfUuQY4,1.20076723,0.39791388,-1.89553903,784,2
om9oofIJB-0,1.49577343,0.29590267,-2.10448098,328,1
H9381zkjavQ,0.82660158,0.44180589,-1.54407785,1704,4
fYCG17P5D0g,0.73922288,0.41356570,-1.31758344,358,1
qVbTOL6z8xk,0.12424004,0.64611840,-0.87290192,356,1
KL1RN4ErYPA,0.48711998,0.63151323,-1.25809130,525,2
2eVNUc70wt8,0.07317452,0.52221193,-0.84327985,921,2
CGatf74vwic,-0.58345423,0.61451688,-0.10738509,1399,3
yyX_h1gvlmk,1.57867217,0.23764519,-2.16445160,100,1
vSfAC5dzUEk,0.45132115,0.88753355,-1.61533595,668,2
pGfY8TTl2Uw,0.18282509,0.68310124,-1.23568559,415,1
pu0IaEWD-4w,0.13151120,0.53016565,-0.82870820,718,2
qhQlKDuTt6w,0.68203795,0.53659540,-1.56480145,222,1
nlCI75cDGgc,1.74101150,0.40233123,-2.40651178,269,1
LTysKFb1n3M,1.09151592,0.57011063,-1.99792930,2155,5
wgM9CrFr8g0,-0.05066965,0.75786001,-0.92142921,2691,6
ILGbUtu4fj4,0.91810001,0.54743069,-1.79246431,752,2
xJBdO6LPnh8,0.40767377,0.56595928,-1.20496585,950,2
cYDV1k7bItE,1.94853127,0.31873101,-2.57491016,434,1
WRINbWfXMoI,-2.71800770,0.34731354,2.67611767,3742,8
GeKRbDLE0q0,-3.15806131,0.64044911,2.71107788,4292,9
C0Yg5HaDHlk,-2.65017509,0.33912921,2.49406672,234,1
355Au2S5QA0,0.98429960,0.71921957,-2.06620622,371,1
TlXQAiOAIhs,-0.56527371,0.86221088,-0.46955244,636,2
j5MhAkkPjA8,-3.14672276,0.76955639,2.51881441,1069,3
15SIrezQymQ,0.65115301,0.68145582,-1.64085935,1169,3
2wnKC835AJ0,-2.61058283,-0.16832508,3.06641579,151,1
VcMn3x2fZgk,0.50825311,0.55639922,-1.34716099,982,2
ZRoqZED6-0o,-0.05147363,0.65320061,-0.83113993,1152,3
32y9u5T44C4,2.60250425,0.02939282,-2.90763712,313,1
9MWOcQuMieg,0.65189896,0.62625094,-1.56103159,912,2
_TlnldIHagA,-0.17869144,0.51858571,-0.49800353,1985,4
vBBqHQTgWAw,0.10144529,0.52550024,-0.97190750,289,1
tQbYtwmwT1c,-0.17594290,0.57710496,-0.62949469,1195,3
v9tFW4veOXA,0.27634915,0.69188915,-1.16317941,829,2
xMZEONz4cMY,-0.00959811,0.33890277,-0.55452394,397,1
SBHxbW6rFHg,2.04145575,0.12377867,-2.48832226,282,1
ksu974v1SQ0,0.02039347,0.70134014,-0.96589269,1064,3
CZtn5uPOBAE,0.96010439,0.41278545,-1.67728272,695,2
pi0mY0LYigA,-0.17196725,0.95699558,-0.95603845,5072,10
thzknU6E7GE,0.08768678,0.66817749,-0.98867024,935,2
gCPH1CoooEs,-0.23903227,0.95326936,-0.99956071,481,1
oe5yUe8ct00,1.29213617,0.48010017,-2.07810500,604,2
Zg60VvCoNl0,-0.59338945,0.92957580,-0.71326643,464,1
Ecb-9svbiWg,0.54076372,0.68629904,-1.50934162,977,2
1UHwPkdVnxo,0.41947088,0.52170723,-1.20992654,1801,4
xiw95zff_ek,0.40038210,0.76448161,-1.34368852,1120,3
dkcxBhOfBDc,0.51204789,0.70267921,-1.51211472,1448,3
tR2uBdoLCeA,-1.54063674,0.79160393,0.73520447,2174,5
wG3Mqn3Hm18,-0.19779727,0.60018695,-0.64107549,974,2
z5LVl3HH8TA,0.55429622,0.65021157,-1.50318576,1163,3
PvfqvZHm4N8,1.60548317,0.42794091,-2.16297531,42,1
dPhbqYckBBo,0.05440240,1.07917288,-1.34381446,514,2
cDMXyEog54Y,-1.44633198,1.04229903,0.44672254,485,1
O8jFNQ2hHzU,0.52412921,0.53263521,-1.30046117,350,1
